genres,id,original_title,production_companies,release_date,runtime,title,vote_average,vote_count,MMPA Rating,Platform
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",19995.0,Avatar,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",2009-12-10,162.0,Avatar,7.2,11800.0,G,"{'name': 'Hulu', 'id': 1}"
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",285.0,Pirates of the Caribbean: At World's End,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2007-05-19,169.0,Pirates of the Caribbean: At World's End,6.9,4500.0,G,"{'name': 'Tubi', 'id': 3}"
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",206647.0,Spectre,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]",2015-10-26,148.0,Spectre,6.3,4466.0,PG,"{'name': 'Netflix', 'id': 0}"
"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",49026.0,The Dark Knight Rises,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",2012-07-16,165.0,The Dark Knight Rises,7.6,9106.0,R,"{'name': 'HBO Max', 'id': 2}"
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",49529.0,John Carter,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2012-03-07,132.0,John Carter,6.1,2124.0,PG,"{'name': 'Apple TV', 'id': 4}"
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",559.0,Spider-Man 3,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2007-05-01,139.0,Spider-Man 3,5.9,3576.0,PG,"{'name': 'Netflix', 'id': 0}"
"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",38757.0,Tangled,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",2010-11-24,100.0,Tangled,7.4,3330.0,R,"{'name': 'Apple TV', 'id': 4}"
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",99861.0,Avengers: Age of Ultron,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2015-04-22,141.0,Avengers: Age of Ultron,7.3,6767.0,PG-13,"{'name': 'Prime Video', 'id': 6}"
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",767.0,Harry Potter and the Half-Blood Prince,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",2009-07-07,153.0,Harry Potter and the Half-Blood Prince,7.4,5293.0,G,"{'name': 'Hulu', 'id': 1}"
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",209112.0,Batman v Superman: Dawn of Justice,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2016-03-23,151.0,Batman v Superman: Dawn of Justice,5.7,7004.0,PG,"{'name': 'HBO Max', 'id': 2}"
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1452.0,Superman Returns,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]",2006-06-28,154.0,Superman Returns,5.4,1400.0,PG-13,"{'name': 'Apple TV', 'id': 4}"
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",10764.0,Quantum of Solace,"[{""name"": ""Eon Productions"", ""id"": 7576}]",2008-10-30,106.0,Quantum of Solace,6.1,2965.0,G,"{'name': 'Prime Video', 'id': 6}"
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",58.0,Pirates of the Caribbean: Dead Man's Chest,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2006-06-20,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246.0,R,"{'name': 'Prime Video', 'id': 6}"
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",57201.0,The Lone Ranger,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""Silver Bullet Productions (II)"", ""id"": 37380}, {""name"": ""Blind Wink Productions"", ""id"": 37381}, {""name"": ""Classic Media"", ""id"": 37382}]",2013-07-03,149.0,The Lone Ranger,5.9,2311.0,PG,"{'name': 'HBO Max', 'id': 2}"
